evaluated_at_utc,evaluated_at_ept,forecast_hour_beginning_utc,forecast_hour_beginning_ept,forecast_area,forecast_load_mw
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 10:00:00 AM,6/1/2023 6:00:00 AM,MIDATL,25117
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 10:00:00 AM,6/1/2023 6:00:00 AM,MIDATL,25117
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 10:00:00 AM,6/1/2023 6:00:00 AM,MIDATL,25117
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 11:00:00 AM,6/1/2023 7:00:00 AM,MIDATL,26678
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 11:00:00 AM,6/1/2023 7:00:00 AM,MIDATL,26346
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 11:00:00 AM,6/1/2023 7:00:00 AM,MIDATL,26346
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 11:00:00 AM,6/1/2023 7:00:00 AM,MIDATL,26530
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 11:00:00 AM,6/1/2023 7:00:00 AM,MIDATL,26530
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 11:00:00 AM,6/1/2023 7:00:00 AM,MIDATL,26530
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 12:00:00 PM,6/1/2023 8:00:00 AM,MIDATL,27514
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 12:00:00 PM,6/1/2023 8:00:00 AM,MIDATL,27376
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 12:00:00 PM,6/1/2023 8:00:00 AM,MIDATL,27192
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 12:00:00 PM,6/1/2023 8:00:00 AM,MIDATL,27284
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 12:00:00 PM,6/1/2023 8:00:00 AM,MIDATL,27284
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 12:00:00 PM,6/1/2023 8:00:00 AM,MIDATL,27332
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 12:00:00 PM,6/1/2023 8:00:00 AM,MIDATL,27284
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 1:00:00 PM,6/1/2023 9:00:00 AM,MIDATL,28077
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 1:00:00 PM,6/1/2023 9:00:00 AM,MIDATL,28121
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 1:00:00 PM,6/1/2023 9:00:00 AM,MIDATL,27937
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 1:00:00 PM,6/1/2023 9:00:00 AM,MIDATL,28075
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 1:00:00 PM,6/1/2023 9:00:00 AM,MIDATL,28075
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 1:00:00 PM,6/1/2023 9:00:00 AM,MIDATL,28075
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 1:00:00 PM,6/1/2023 9:00:00 AM,MIDATL,28075
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 2:00:00 PM,6/1/2023 10:00:00 AM,MIDATL,28725
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 2:00:00 PM,6/1/2023 10:00:00 AM,MIDATL,28822
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 2:00:00 PM,6/1/2023 10:00:00 AM,MIDATL,28684
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 2:00:00 PM,6/1/2023 10:00:00 AM,MIDATL,28868
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 2:00:00 PM,6/1/2023 10:00:00 AM,MIDATL,28868
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/1/2023 2:00:00 PM,6/1/2023 10:00:00 AM,MIDATL,28573
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 2:00:00 PM,6/1/2023 10:00:00 AM,MIDATL,28974
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 2:00:00 PM,6/1/2023 10:00:00 AM,MIDATL,28868
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 3:00:00 PM,6/1/2023 11:00:00 AM,MIDATL,29601
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 3:00:00 PM,6/1/2023 11:00:00 AM,MIDATL,29990
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 3:00:00 PM,6/1/2023 11:00:00 AM,MIDATL,29806
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 3:00:00 PM,6/1/2023 11:00:00 AM,MIDATL,29806
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 3:00:00 PM,6/1/2023 11:00:00 AM,MIDATL,29806
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/1/2023 3:00:00 PM,6/1/2023 11:00:00 AM,MIDATL,30019
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 3:00:00 PM,6/1/2023 11:00:00 AM,MIDATL,30018
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 3:00:00 PM,6/1/2023 11:00:00 AM,MIDATL,29806
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 4:00:00 PM,6/1/2023 12:00:00 PM,MIDATL,30295
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 4:00:00 PM,6/1/2023 12:00:00 PM,MIDATL,31032
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 4:00:00 PM,6/1/2023 12:00:00 PM,MIDATL,30848
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 4:00:00 PM,6/1/2023 12:00:00 PM,MIDATL,30848
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 4:00:00 PM,6/1/2023 12:00:00 PM,MIDATL,30848
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/1/2023 4:00:00 PM,6/1/2023 12:00:00 PM,MIDATL,31431
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 4:00:00 PM,6/1/2023 12:00:00 PM,MIDATL,31431
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 4:00:00 PM,6/1/2023 12:00:00 PM,MIDATL,30848
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 5:00:00 PM,6/1/2023 1:00:00 PM,MIDATL,31375
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 5:00:00 PM,6/1/2023 1:00:00 PM,MIDATL,32367
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 5:00:00 PM,6/1/2023 1:00:00 PM,MIDATL,32183
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 5:00:00 PM,6/1/2023 1:00:00 PM,MIDATL,32183
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 5:00:00 PM,6/1/2023 1:00:00 PM,MIDATL,32183
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/1/2023 5:00:00 PM,6/1/2023 1:00:00 PM,MIDATL,32772
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 5:00:00 PM,6/1/2023 1:00:00 PM,MIDATL,32607
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 5:00:00 PM,6/1/2023 1:00:00 PM,MIDATL,32183
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 6:00:00 PM,6/1/2023 2:00:00 PM,MIDATL,32591
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 6:00:00 PM,6/1/2023 2:00:00 PM,MIDATL,33756
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 6:00:00 PM,6/1/2023 2:00:00 PM,MIDATL,33572
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 6:00:00 PM,6/1/2023 2:00:00 PM,MIDATL,33572
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 6:00:00 PM,6/1/2023 2:00:00 PM,MIDATL,33572
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/1/2023 6:00:00 PM,6/1/2023 2:00:00 PM,MIDATL,34168
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 6:00:00 PM,6/1/2023 2:00:00 PM,MIDATL,33784
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 6:00:00 PM,6/1/2023 2:00:00 PM,MIDATL,33572
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 7:00:00 PM,6/1/2023 3:00:00 PM,MIDATL,33944
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 7:00:00 PM,6/1/2023 3:00:00 PM,MIDATL,35075
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 7:00:00 PM,6/1/2023 3:00:00 PM,MIDATL,35075
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 7:00:00 PM,6/1/2023 3:00:00 PM,MIDATL,35075
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 7:00:00 PM,6/1/2023 3:00:00 PM,MIDATL,35075
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/1/2023 7:00:00 PM,6/1/2023 3:00:00 PM,MIDATL,35564
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 7:00:00 PM,6/1/2023 3:00:00 PM,MIDATL,35234
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 7:00:00 PM,6/1/2023 3:00:00 PM,MIDATL,35075
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 8:00:00 PM,6/1/2023 4:00:00 PM,MIDATL,35369
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 8:00:00 PM,6/1/2023 4:00:00 PM,MIDATL,36672
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 8:00:00 PM,6/1/2023 4:00:00 PM,MIDATL,36949
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 8:00:00 PM,6/1/2023 4:00:00 PM,MIDATL,36672
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 8:00:00 PM,6/1/2023 4:00:00 PM,MIDATL,36672
6/1/2023 9:45:00 PM,6/1/2023 5:45:00 PM,6/1/2023 8:00:00 PM,6/1/2023 4:00:00 PM,MIDATL,36955
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/1/2023 8:00:00 PM,6/1/2023 4:00:00 PM,MIDATL,37382
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 8:00:00 PM,6/1/2023 4:00:00 PM,MIDATL,36778
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 8:00:00 PM,6/1/2023 4:00:00 PM,MIDATL,36672
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 9:00:00 PM,6/1/2023 5:00:00 PM,MIDATL,36320
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 9:00:00 PM,6/1/2023 5:00:00 PM,MIDATL,37620
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 9:00:00 PM,6/1/2023 5:00:00 PM,MIDATL,38035
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 9:00:00 PM,6/1/2023 5:00:00 PM,MIDATL,37897
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 9:00:00 PM,6/1/2023 5:00:00 PM,MIDATL,37897
6/1/2023 9:45:00 PM,6/1/2023 5:45:00 PM,6/1/2023 9:00:00 PM,6/1/2023 5:00:00 PM,MIDATL,38336
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/1/2023 9:00:00 PM,6/1/2023 5:00:00 PM,MIDATL,37952
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 9:00:00 PM,6/1/2023 5:00:00 PM,MIDATL,37897
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 9:00:00 PM,6/1/2023 5:00:00 PM,MIDATL,37897
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 10:00:00 PM,6/1/2023 6:00:00 PM,MIDATL,36277
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 10:00:00 PM,6/1/2023 6:00:00 PM,MIDATL,37509
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 10:00:00 PM,6/1/2023 6:00:00 PM,MIDATL,37740
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 10:00:00 PM,6/1/2023 6:00:00 PM,MIDATL,37694
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 10:00:00 PM,6/1/2023 6:00:00 PM,MIDATL,37694
6/1/2023 9:45:00 PM,6/1/2023 5:45:00 PM,6/1/2023 10:00:00 PM,6/1/2023 6:00:00 PM,MIDATL,38298
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/1/2023 10:00:00 PM,6/1/2023 6:00:00 PM,MIDATL,37694
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 10:00:00 PM,6/1/2023 6:00:00 PM,MIDATL,37694
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 10:00:00 PM,6/1/2023 6:00:00 PM,MIDATL,37694
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/1/2023 11:00:00 PM,6/1/2023 7:00:00 PM,MIDATL,35429
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/1/2023 11:00:00 PM,6/1/2023 7:00:00 PM,MIDATL,36410
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/1/2023 11:00:00 PM,6/1/2023 7:00:00 PM,MIDATL,36410
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/1/2023 11:00:00 PM,6/1/2023 7:00:00 PM,MIDATL,36410
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/1/2023 11:00:00 PM,6/1/2023 7:00:00 PM,MIDATL,36410
6/1/2023 9:45:00 PM,6/1/2023 5:45:00 PM,6/1/2023 11:00:00 PM,6/1/2023 7:00:00 PM,MIDATL,37069
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/1/2023 11:00:00 PM,6/1/2023 7:00:00 PM,MIDATL,36410
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/1/2023 11:00:00 PM,6/1/2023 7:00:00 PM,MIDATL,36410
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/1/2023 11:00:00 PM,6/1/2023 7:00:00 PM,MIDATL,36410
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/2/2023 12:00:00 AM,6/1/2023 8:00:00 PM,MIDATL,34751
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/2/2023 12:00:00 AM,6/1/2023 8:00:00 PM,MIDATL,35645
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/2/2023 12:00:00 AM,6/1/2023 8:00:00 PM,MIDATL,35645
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/2/2023 12:00:00 AM,6/1/2023 8:00:00 PM,MIDATL,35645
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/2/2023 12:00:00 AM,6/1/2023 8:00:00 PM,MIDATL,35645
6/1/2023 9:45:00 PM,6/1/2023 5:45:00 PM,6/2/2023 12:00:00 AM,6/1/2023 8:00:00 PM,MIDATL,36249
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/2/2023 12:00:00 AM,6/1/2023 8:00:00 PM,MIDATL,35645
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/2/2023 12:00:00 AM,6/1/2023 8:00:00 PM,MIDATL,35645
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/2/2023 12:00:00 AM,6/1/2023 8:00:00 PM,MIDATL,35645
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/2/2023 1:00:00 AM,6/1/2023 9:00:00 PM,MIDATL,33304
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/2/2023 1:00:00 AM,6/1/2023 9:00:00 PM,MIDATL,33832
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/2/2023 1:00:00 AM,6/1/2023 9:00:00 PM,MIDATL,33832
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/2/2023 1:00:00 AM,6/1/2023 9:00:00 PM,MIDATL,33832
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/2/2023 1:00:00 AM,6/1/2023 9:00:00 PM,MIDATL,33832
6/1/2023 9:45:00 PM,6/1/2023 5:45:00 PM,6/2/2023 1:00:00 AM,6/1/2023 9:00:00 PM,MIDATL,34052
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/2/2023 1:00:00 AM,6/1/2023 9:00:00 PM,MIDATL,33832
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/2/2023 1:00:00 AM,6/1/2023 9:00:00 PM,MIDATL,33832
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/2/2023 1:00:00 AM,6/1/2023 9:00:00 PM,MIDATL,33832
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,MIDATL,30714
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,MIDATL,30957
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,MIDATL,30957
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,MIDATL,30957
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,MIDATL,30957
6/2/2023 3:45:00 AM,6/1/2023 11:45:00 PM,6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,MIDATL,31067
6/1/2023 9:45:00 PM,6/1/2023 5:45:00 PM,6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,MIDATL,31067
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,MIDATL,30957
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,MIDATL,30957
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/2/2023 2:00:00 AM,6/1/2023 10:00:00 PM,MIDATL,30957
5/31/2023 9:45:00 AM,5/31/2023 5:45:00 AM,6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,MIDATL,28149
5/31/2023 1:45:00 PM,5/31/2023 9:45:00 AM,6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,MIDATL,28322
5/31/2023 3:45:00 PM,5/31/2023 11:45:00 AM,6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,MIDATL,28322
5/31/2023 9:45:00 PM,5/31/2023 5:45:00 PM,6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,MIDATL,28322
6/1/2023 3:45:00 AM,5/31/2023 11:45:00 PM,6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,MIDATL,28322
6/2/2023 3:45:00 AM,6/1/2023 11:45:00 PM,6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,MIDATL,28487
6/1/2023 9:45:00 PM,6/1/2023 5:45:00 PM,6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,MIDATL,28487
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,MIDATL,28322
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,MIDATL,28322
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/2/2023 3:00:00 AM,6/1/2023 11:00:00 PM,MIDATL,28322
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/2/2023 4:00:00 AM,6/2/2023 12:00:00 AM,MIDATL,26080
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/2/2023 4:00:00 AM,6/2/2023 12:00:00 AM,MIDATL,25866
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/2/2023 4:00:00 AM,6/2/2023 12:00:00 AM,MIDATL,26120
6/1/2023 9:45:00 PM,6/1/2023 5:45:00 PM,6/2/2023 4:00:00 AM,6/2/2023 12:00:00 AM,MIDATL,26120
6/2/2023 3:45:00 AM,6/1/2023 11:45:00 PM,6/2/2023 4:00:00 AM,6/2/2023 12:00:00 AM,MIDATL,26120
6/1/2023 9:45:00 AM,6/1/2023 5:45:00 AM,6/2/2023 5:00:00 AM,6/2/2023 1:00:00 AM,MIDATL,24642
6/1/2023 1:45:00 PM,6/1/2023 9:45:00 AM,6/2/2023 5:00:00 AM,6/2/2023 1:00:00 AM,MIDATL,24455
6/1/2023 3:45:00 PM,6/1/2023 11:45:00 AM,6/2/2023 5:00:00 AM,6/2/2023 1:00:00 AM,MIDATL,24658
6/1/2023 9:45:00 PM,6/1/2023 5:45:00 PM,6/2/2023 5:00:00 AM,6/2/2023 1:00:00 AM,MIDATL,24658
6/2/2023 3:45:00 AM,6/1/2023 11:45:00 PM,6/2/2023 5:00:00 AM,6/2/2023 1:00:00 AM,MIDATL,24658
